floor_to_ceiling_height,natural_grade_of_floor,outdoor_emergency_exit,bottom_of_clear_opening,opening_height,opening_width,opening_area,area_of_window_well,distance_between_landing,area_of_landing,drainage_system_present,window_cover_signage,Approved ?
8.7,0.8,TRUE,42.8,25,21.1,5.4,9.4,9.7,10.1,TRUE,TRUE,Yes
8.5,0.7,FALSE,40.7,24.4,20.6,5.4,9.3,11.7,11.7,TRUE,TRUE,No
8.3,0.3,TRUE,44.1,25.8,20.2,5.4,8.8,11.5,10.4,TRUE,FALSE,No
6.8,1.5,FALSE,42.3,25.9,20.1,5.3,10.7,10.8,10.8,TRUE,FALSE,No
7.7,1.1,TRUE,39.5,25.2,21.9,5.1,9.1,11.3,9.3,TRUE,TRUE,Yes
8.6,1.6,FALSE,42.9,24.4,21.6,5,9.3,11.3,11.9,TRUE,FALSE,No
7.1,1.9,TRUE,42.8,24.9,21.5,5.6,10,9.9,11.2,FALSE,TRUE,No
8.3,1.8,TRUE,38.1,25.3,20.4,5.3,8.9,10.3,11.9,FALSE,FALSE,No
7.8,1.6,FALSE,42.7,25.2,20.1,5.1,9.7,9.1,11.7,TRUE,FALSE,No
7.3,0.3,FALSE,41.3,25.4,19.7,5.1,9.5,11.6,11.5,FALSE,TRUE,No
8.2,2.2,FALSE,43.5,24.9,21.7,4.9,10.4,10.8,9.3,FALSE,FALSE,No
7.2,1.5,TRUE,44.1,23.9,20.2,5.3,9.8,11.9,9.2,TRUE,TRUE,No
7.9,1.6,FALSE,39,25.1,20.3,5.6,10.8,11.6,9.7,FALSE,TRUE,No
8.6,0.9,FALSE,40,24,21.1,5.2,8.8,10.8,8.5,FALSE,FALSE,No
8.7,1.2,TRUE,43,25.5,19.9,5.2,10.7,11.9,10.4,TRUE,TRUE,Yes
7.8,1.7,FALSE,38.3,25.4,20.1,4.8,9.5,12,9.1,FALSE,TRUE,No
7.9,0.5,FALSE,39.9,24.6,20.4,5.3,9.9,9,8.8,TRUE,TRUE,No
8.6,0.2,FALSE,39.7,24.3,19.9,5.6,8.7,10.5,11.2,FALSE,FALSE,No
7.6,0.4,TRUE,41.6,25.6,19.9,5.1,10.1,11.1,11.2,TRUE,FALSE,No
8.1,1.7,FALSE,42.4,23.8,21.6,5.4,10.4,12.1,9.6,FALSE,TRUE,No
7.5,2.2,FALSE,40.3,24.8,21.5,5.5,8.9,10.4,9.7,FALSE,TRUE,No
7.6,0.3,TRUE,38.1,24.8,20.8,5.6,10.1,9.5,12,TRUE,TRUE,Yes
7.1,2.1,TRUE,39.3,23.8,20.2,5.3,8.7,12.1,10.5,TRUE,TRUE,No
8.2,0.2,TRUE,39.1,24.5,20.3,5.8,10,9.2,10.6,FALSE,TRUE,No
7.1,0.9,FALSE,42.2,25.5,21.4,5.4,8.9,11.9,11.2,FALSE,TRUE,No
8.9,1.8,FALSE,42.3,25.3,21.8,5.4,9.2,12,8.7,FALSE,TRUE,No
8.9,1.4,FALSE,40.6,24.6,19.7,5.6,8.8,10.5,8.9,TRUE,TRUE,No
8.2,1.8,FALSE,44.1,23.9,21.3,4.8,9.1,11.9,10.1,FALSE,FALSE,No
7.7,0.2,TRUE,39.9,24.9,19.9,5.7,9.3,11.6,9.9,FALSE,TRUE,No
7.2,0.4,TRUE,41.9,24.1,20.2,5.3,10.2,10.1,11.8,FALSE,TRUE,No
8.1,0.1,FALSE,43.1,25.1,20.9,5.5,9,11.8,8.6,FALSE,FALSE,No
8.9,0.8,FALSE,41.3,24.6,21.3,5.1,9.2,10.2,9.4,FALSE,TRUE,No
8.6,2.1,TRUE,41,25.4,20.3,4.8,10.8,10.2,10.5,TRUE,FALSE,No
8.4,1.5,FALSE,44.2,25.7,20.4,4.9,10.5,10.2,9.1,FALSE,TRUE,No
8.1,0.9,FALSE,42.1,24.1,22,4.9,9.6,9.2,10.9,FALSE,FALSE,No
8.1,0.3,FALSE,43.8,24.7,21.2,5.8,11,10.9,8.6,FALSE,TRUE,No
8.7,0.5,TRUE,41.2,24.6,19.7,5.7,9.2,11.7,9.2,TRUE,FALSE,No
7.7,0.9,FALSE,39,25.7,21.1,5.1,10.1,10.6,9.1,TRUE,FALSE,No
7.9,1,FALSE,40.8,24,21.3,5.1,9.6,12.1,9.3,FALSE,FALSE,No
8,0.1,FALSE,44,24,21.6,4.8,9.5,9.4,9.5,TRUE,TRUE,No
8,0.3,TRUE,39.6,24.6,20.1,5,10.6,10.1,8.9,TRUE,TRUE,Yes
8.7,1.6,FALSE,40.1,25.6,20.7,5.7,9.6,11.7,10.5,FALSE,TRUE,No
8.5,1.2,FALSE,40.2,24.4,20.2,5.6,10.1,10.3,9.1,TRUE,FALSE,No
8.5,0.9,TRUE,43,24.1,20.8,5.6,9.3,10.6,10.1,FALSE,TRUE,No
7.6,0.7,TRUE,41.5,25.6,21.7,4.9,10.1,10.7,9.5,FALSE,FALSE,No
8.3,0.6,TRUE,43.5,25.6,21.7,4.9,10.3,9.3,9.6,FALSE,TRUE,No
8.8,1.4,TRUE,42.6,25,19.9,5.3,9.3,10.4,10.1,TRUE,TRUE,Yes
8.5,1.5,TRUE,43.1,25.2,21.5,5.1,9.7,11.4,9.3,TRUE,TRUE,Yes
6.9,0.5,TRUE,41.8,23.9,20.1,5.8,9.6,9,10,FALSE,TRUE,No
6.8,0.7,FALSE,40.9,24.5,20.3,5.3,8.8,12,9,TRUE,TRUE,No
7.7,2.2,FALSE,41,24,21.4,4.9,9.7,12.2,9.5,FALSE,TRUE,No
7.5,0.8,FALSE,42.8,24.7,19.8,4.9,8.9,10.1,10.7,TRUE,FALSE,No
8.6,2,FALSE,40.3,24.6,21.3,5.4,10.6,10.3,10.2,FALSE,TRUE,No
7.8,1.7,TRUE,42.3,25.6,22,4.9,10.5,12.3,11.3,FALSE,FALSE,No
7.4,1.7,FALSE,38.9,25.9,21.4,5.7,10.1,12,10.6,TRUE,FALSE,No
7.6,0,TRUE,40.9,24.8,19.9,5.3,10.7,11.6,9.7,FALSE,TRUE,No
7.4,1.9,TRUE,41.3,25.6,19.9,5.7,10.3,10.5,11.3,FALSE,FALSE,No
8.3,0.4,TRUE,41.6,25.5,19.9,5,9.1,9.4,11.3,TRUE,FALSE,No
7.2,0.7,TRUE,38.2,24.1,20.3,5.6,10,9.9,11.1,FALSE,FALSE,No
7.1,1.4,TRUE,38.6,25.6,21.8,5.5,9.4,9.4,10.4,TRUE,FALSE,No
8.2,1.7,TRUE,38,25.6,21.9,5.7,10.1,9.6,9.5,TRUE,TRUE,Yes
8.5,0,TRUE,42,25.3,21.6,4.9,10.4,11,10.9,TRUE,TRUE,No
8.6,0.7,TRUE,44.2,25.6,21.7,4.9,9,10.1,8.8,FALSE,TRUE,No
6.8,1.9,TRUE,41.9,24.2,21.4,5.2,9.2,11.9,11.9,FALSE,TRUE,No
8.9,0,FALSE,38.2,25.9,21.9,5.2,10.9,12.2,10.3,FALSE,FALSE,No
8.9,1.8,TRUE,42,25.3,20.3,5.5,8.9,9.6,11.4,TRUE,TRUE,No
6.9,0.2,TRUE,42.5,25.3,20.4,5.5,8.8,9.1,9.5,TRUE,TRUE,No
8.5,1.5,TRUE,43.9,24.4,21.6,5.7,10.9,12.1,8.9,TRUE,FALSE,No
7.7,2,TRUE,41.9,24.7,20.5,5.1,10.1,11.5,8.8,FALSE,FALSE,No
8.3,0.8,TRUE,44,25,20.9,5.4,10,10.6,11.6,FALSE,TRUE,No
7.2,2,FALSE,42.3,25.7,21.8,5.4,9.7,11.2,9,FALSE,FALSE,No
7,2.1,FALSE,43.7,24.2,19.8,5.7,9.2,9.6,9.5,FALSE,TRUE,No
7.9,0.5,TRUE,41.4,25.1,20.2,5.5,10.2,10.3,11.1,FALSE,FALSE,No
7.1,1.6,FALSE,39.5,24.6,20.8,5.4,9.1,10.3,9,FALSE,FALSE,No
8.2,1.6,FALSE,42,25.6,21.1,5.4,9.8,9.6,11,FALSE,FALSE,No
7.4,1.7,TRUE,38.3,24.1,19.9,5.4,10.7,11,11.3,TRUE,TRUE,No
7.4,0.8,TRUE,38.7,23.9,21.3,4.9,9.7,9.6,11.9,FALSE,FALSE,No
8.7,0.9,TRUE,39.8,25.7,21.4,5.6,10.3,11.3,9.9,TRUE,TRUE,Yes
8.6,0.8,FALSE,42,25.5,21.8,5.3,10.8,11.6,9.3,TRUE,FALSE,No
9,1.5,FALSE,40.6,25,21.8,5.2,10.3,11.1,10.2,FALSE,FALSE,No
8.1,0.5,FALSE,43.2,25.1,20.6,5.4,8.8,9.8,10.7,TRUE,FALSE,No
6.9,1,FALSE,40.5,24.4,20.9,5.2,9.6,11.7,10.9,FALSE,FALSE,No
7.7,0.5,FALSE,39.1,25.9,21.3,5,8.9,10,11.4,TRUE,FALSE,No
8.5,2.1,FALSE,41.3,24.5,20.8,5.7,8.8,11.2,10.8,TRUE,TRUE,No
8.5,1.1,TRUE,38.4,25.1,21.2,5,8.8,9.9,10,FALSE,TRUE,No
8.4,2.2,TRUE,44,23.7,21.8,5.2,9.2,11.1,10.1,TRUE,TRUE,No
9,0.9,TRUE,43.5,24.9,20.4,5.6,9.6,12.3,9.9,TRUE,FALSE,No
9,1.4,FALSE,41.2,23.8,21.2,5.2,10.6,11.6,9.6,FALSE,FALSE,No
8.7,0.7,TRUE,39.6,25.6,21.6,5,9.5,10.8,10,TRUE,FALSE,No
8.8,0.6,FALSE,42.6,25.3,20.5,5.5,10.8,10.8,10.3,FALSE,TRUE,No
7.8,0.9,TRUE,42.6,24.6,21.7,5.5,10.1,9.5,10.2,TRUE,TRUE,Yes
8.6,0,TRUE,41,24.5,20.3,5.3,10.9,10.4,9.7,FALSE,TRUE,No
7.4,1.3,TRUE,41.7,24.4,21,5.7,8.9,11.4,9.9,TRUE,TRUE,No
7.7,2.2,FALSE,38.5,25.4,19.9,5.6,10.8,11,11.8,FALSE,TRUE,No
8.5,1.9,TRUE,42.6,25.4,20.5,5.2,10,9.2,9.5,FALSE,FALSE,No
7.8,1.5,TRUE,42.4,25.6,20.8,5.6,10.6,11.8,10.4,TRUE,FALSE,No
8,0.2,TRUE,41.3,24.9,20,5,10,9.4,9.4,FALSE,TRUE,No
7,0.4,FALSE,41,25.3,21.9,5.3,9.6,11,10.6,TRUE,TRUE,No
7.3,0.8,FALSE,42.6,24.3,21.9,5,10.5,10,11.3,TRUE,FALSE,No
8.2,0.9,FALSE,38.7,24.8,19.8,5.1,10.3,11,12,TRUE,FALSE,No
6.9,1.4,TRUE,44.1,25.7,21.9,5.7,10.8,9.8,8.9,FALSE,FALSE,No
6.9,1.5,TRUE,42.5,23.9,20.9,5.6,10.1,11.1,9.7,FALSE,TRUE,No
8.3,0.3,FALSE,43.8,24.1,20.1,5,10,9.3,11.7,FALSE,TRUE,No
7.4,1.5,FALSE,44.2,26,21.2,5.6,9.6,11.6,9.4,FALSE,TRUE,No
7.1,2,TRUE,42.4,25.4,21.9,5.7,9.2,12.2,9,FALSE,TRUE,No
9,2.1,FALSE,42.4,25.4,21.3,5.1,11,11.6,9.8,TRUE,FALSE,No
8.4,1,TRUE,39,24.7,20.8,5.1,9.4,10.3,11.7,TRUE,TRUE,Yes
8.9,2.2,FALSE,40.4,25.1,21.6,5.2,8.8,11.2,10.1,FALSE,TRUE,No
8.2,2.1,FALSE,41.7,23.9,21.8,5.8,9.8,11.1,8.9,TRUE,TRUE,No
7.8,0.3,FALSE,40.2,25,20.5,4.9,9.8,12,10.4,FALSE,FALSE,No
7.7,1.6,TRUE,43.2,23.8,21.3,5.5,10.8,11.9,10.6,FALSE,FALSE,No
7.7,1.1,FALSE,38,24.5,21,5.8,9.9,9.6,10.4,FALSE,FALSE,No
8.8,1.5,FALSE,41.9,26,21.3,4.9,10.4,10,9.7,FALSE,TRUE,No
8.3,0.4,TRUE,43.6,26,20.6,5.2,9.2,9.2,8.6,TRUE,TRUE,No
7.2,1.4,FALSE,44.2,23.9,20.2,5.1,8.9,12.1,11,TRUE,FALSE,No
7.9,0.4,TRUE,39.8,23.8,21.3,5.6,9,9.6,10.8,FALSE,TRUE,No
8.2,1.3,TRUE,42,25.7,21.1,4.9,10.8,11.1,9,FALSE,TRUE,No
6.9,1,TRUE,39.2,24.1,20,4.9,9.9,11,12,TRUE,FALSE,No
8.6,1.6,TRUE,44.1,25.6,20.2,5.4,10.4,9.8,8.7,TRUE,FALSE,No
7.4,1.9,FALSE,41.4,25.3,20.1,5.1,11,11.2,11.8,TRUE,FALSE,No
8.9,0,TRUE,40.7,24.9,21.1,5.3,9.3,10.9,8.8,TRUE,FALSE,No
8.4,0.3,FALSE,39.4,25.1,21.2,5.2,9.4,11.5,11.2,TRUE,TRUE,No
6.8,1.8,FALSE,43.3,24,21.9,4.8,9.8,10,10.6,FALSE,TRUE,No
8.8,2.3,FALSE,39.9,25.8,20.1,5.1,11,9.6,10.1,TRUE,TRUE,No
8,0.5,FALSE,42.8,24.2,20.7,5.5,8.9,11.2,9.4,TRUE,TRUE,No
8,0.8,TRUE,41.8,25.5,21.4,5.2,9.4,11.2,9.3,FALSE,TRUE,No
7.5,1.4,FALSE,39.7,24.3,21.1,5.8,10.9,9.8,9.6,FALSE,FALSE,No
6.9,0.8,TRUE,40.8,24.7,20.2,5.1,9.6,10.9,9.9,FALSE,TRUE,No
7.5,0.8,FALSE,39.8,24.5,19.8,5.6,10.9,11.4,10.2,TRUE,FALSE,No
8.1,0.1,FALSE,40.2,25.4,20.9,5.8,9.3,11.3,11.2,FALSE,TRUE,No
7,0.7,FALSE,41.6,24.9,20.4,5.8,10.4,10.3,10.9,FALSE,FALSE,No
8.9,1.3,FALSE,40.4,24.3,21.3,5.7,10.9,12.3,9.8,FALSE,TRUE,No
7.5,1.3,FALSE,41.1,25.2,21.6,5.5,10,9.8,9.6,FALSE,TRUE,No
8.9,0.9,TRUE,41,25.2,21.6,5.2,8.9,10.8,10.7,TRUE,TRUE,No
8.4,1,FALSE,43.5,24.1,19.9,4.9,10.4,11.2,11.8,FALSE,TRUE,No
8.6,2.1,TRUE,40.5,25.7,21.4,5.2,10.3,9.2,10.6,FALSE,TRUE,No
7,2.2,FALSE,40.5,25,21.3,4.9,9.2,10.4,10.6,TRUE,FALSE,No
8.7,1.2,FALSE,40.2,24.8,20.5,5,9.1,12.2,8.6,TRUE,TRUE,No
7.2,1.8,FALSE,38.2,24.5,21.8,5.5,8.8,10.8,12,FALSE,TRUE,No
7.4,1.5,TRUE,39,25.5,20.5,4.9,10,9.9,10.7,FALSE,FALSE,No
7,0.2,FALSE,39.3,23.8,20.9,5.3,10.7,9.5,8.8,TRUE,TRUE,No
6.9,2.1,TRUE,41.4,24.1,20.1,5.5,9.6,9.8,10.7,FALSE,FALSE,No
7.1,2.2,TRUE,39.2,24.1,21.3,5.8,9.8,11.5,10.4,FALSE,FALSE,No
7.9,0.5,FALSE,39.4,25.5,21.8,5.7,8.7,10.9,10.4,TRUE,FALSE,No
6.8,1.8,TRUE,40.5,25.6,21.9,5.2,10.4,10.8,11.4,FALSE,TRUE,No
7.8,0.7,TRUE,41.9,25.6,20.3,4.8,9.1,12.2,9.4,FALSE,FALSE,No
8.4,1.6,TRUE,43.8,24.2,21.5,5.7,8.9,9.2,11.9,FALSE,TRUE,No
7.6,0.2,FALSE,44.1,24.7,21,5,9,11.6,9.7,FALSE,TRUE,No
7.4,0.2,TRUE,39,25.1,20.3,5,9.4,10.5,11.6,FALSE,TRUE,No
8.9,0.8,FALSE,40,24.9,21.3,5.7,10.1,11.9,10.5,TRUE,TRUE,No
7,0.2,TRUE,38.7,23.9,21.4,5.5,10.8,9.8,9.8,TRUE,TRUE,Yes
7.1,1.3,TRUE,42.1,25.6,20.3,4.9,10.6,11.3,10.9,FALSE,TRUE,No
7.7,0.2,FALSE,39.6,23.9,21.2,5.6,10.4,9.4,10.1,FALSE,TRUE,No
8.7,0.4,FALSE,38.2,25.5,21.5,5.1,9.4,11.2,10.9,FALSE,FALSE,No
8.6,1.9,FALSE,42.3,24,19.9,4.8,10.4,11.4,11.4,FALSE,TRUE,No
7.4,1.7,FALSE,38.6,24,21.4,5.7,9.2,9.3,9.2,FALSE,TRUE,No
7.3,0.5,FALSE,38.1,25.4,21.2,5.4,9.3,10.1,11,TRUE,FALSE,No
8.3,0.2,FALSE,39.8,24.4,21.6,5.7,10.7,9.3,9.2,TRUE,FALSE,No
8.8,1.4,TRUE,38.9,24.8,21,4.9,9.8,10.7,10.6,TRUE,FALSE,No
8.2,2.1,TRUE,41.9,25.5,19.8,5.4,9.8,11,11.7,FALSE,TRUE,No
7.6,0.2,TRUE,43.3,25.5,20,5.2,10.5,11.5,10.2,FALSE,TRUE,No
8.5,1.2,TRUE,43.2,25.2,21.3,5.1,9.4,11.9,11.4,FALSE,FALSE,No
8.3,2,FALSE,44.1,25.1,21.5,5,9.5,11,10.7,TRUE,TRUE,No
7.5,0.7,TRUE,43.2,23.8,21.1,5.6,9.6,12,10.4,TRUE,TRUE,Yes
9,2,FALSE,41,24.7,20.6,5.2,10.9,10.1,10.2,FALSE,TRUE,No
7.2,0,FALSE,43,24.2,21.9,5.8,10,9.2,9.2,FALSE,TRUE,No
8.4,1.2,FALSE,43,24.4,21.3,4.8,10.8,10.3,11.7,FALSE,TRUE,No
8.4,1.1,FALSE,43.4,25.5,21.1,5.7,10.3,9.2,10.8,TRUE,TRUE,No
8.8,0.9,FALSE,42.4,24.5,21.5,5,9,9.9,11.4,TRUE,FALSE,No
7.3,0.9,FALSE,43.8,23.9,21.6,5.2,10.9,9.3,9.8,FALSE,TRUE,No
7.6,1,TRUE,42.1,25.2,20.2,5.8,9.1,10.8,11.7,FALSE,TRUE,No
8,0.9,FALSE,41.2,24.5,19.8,5,8.8,10,8.8,FALSE,FALSE,No
7.3,0.6,FALSE,40.6,25.2,20.2,5.3,10.8,9.6,8.6,TRUE,TRUE,No
8.6,2,FALSE,38.1,25.6,21.4,4.9,11,9.2,9.5,TRUE,FALSE,No
8.8,0.8,FALSE,41.3,24.6,20.6,4.9,9.7,10.6,11.2,FALSE,TRUE,No
7.1,0.7,FALSE,38.5,25.8,21.2,5.4,10.6,9.5,10.2,FALSE,TRUE,No
7.9,1,FALSE,39.2,25.7,20.1,5.3,10.4,12.2,10.8,TRUE,FALSE,No
7.9,1.8,TRUE,39.7,23.9,20.7,5.6,10.3,11.4,11.6,FALSE,FALSE,No
7.9,1.7,FALSE,39,23.8,21.9,5.6,8.8,10.1,11.6,TRUE,FALSE,No
7.3,0.2,TRUE,42.4,24.4,21,5.2,9,10,9.9,TRUE,FALSE,No
7.1,1.6,FALSE,40.1,25.8,21,5.2,9.1,12.1,8.7,TRUE,FALSE,No
7.4,1.2,FALSE,43.3,25,21.1,5.5,9.5,10,8.7,FALSE,FALSE,No
7.7,1.5,TRUE,44.1,24.7,21,5.1,8.9,10.5,11.5,FALSE,TRUE,No
6.9,1.5,TRUE,41.5,24.3,20.1,5.1,8.8,10.5,11,FALSE,FALSE,No
7.1,1.5,FALSE,43.8,25.2,21.6,5.7,10.8,10.6,9.4,FALSE,TRUE,No
7.9,0.1,FALSE,43.9,24.6,21,5.7,9.6,11.5,9.9,TRUE,TRUE,No
7.5,0.1,FALSE,42.5,25.9,19.9,5.4,11,9.3,11.2,FALSE,FALSE,No
8.5,1.4,TRUE,43.2,24.6,19.8,5.6,10.2,9.9,10.2,FALSE,TRUE,No
8.1,1.2,FALSE,40.3,24.3,20.8,5.6,9.8,9.5,9.8,TRUE,FALSE,No
8.3,0.1,TRUE,39.9,24.2,19.8,5.4,9.9,9.4,10.5,TRUE,TRUE,Yes
8.8,2.2,FALSE,41.3,25.6,21.4,5.3,9.8,10.4,8.8,FALSE,FALSE,No
7.1,0.2,FALSE,44.1,24.9,20.9,5.7,10.1,10.5,9.6,FALSE,FALSE,No
8.8,0.9,TRUE,40.5,25.3,20,4.8,10.2,11.5,11.4,FALSE,TRUE,No
8.3,0.2,FALSE,41.9,24.8,19.8,5.8,10.6,9.6,10.4,TRUE,FALSE,No
7.7,1.5,FALSE,38.9,25.2,19.8,4.9,10,10.2,11.6,TRUE,FALSE,No
7.6,2,FALSE,41.5,24.1,20.5,4.9,9.4,10.6,10.5,FALSE,FALSE,No
7.4,1.8,FALSE,38.9,25.8,21.3,5.2,9.3,12.2,11.4,TRUE,FALSE,No
8.7,1.4,FALSE,40.3,24.5,21.7,5,9.5,12.1,9.7,FALSE,TRUE,No
7.5,1.5,TRUE,41.4,23.9,22,4.9,10.1,10.9,11.6,FALSE,TRUE,No
9,0.2,TRUE,42.8,25.2,21.3,4.9,10.2,11.2,8.7,FALSE,TRUE,No
7.7,1,TRUE,41,24.8,19.8,5.2,9.4,12.4,10.5,TRUE,FALSE,No
7.4,0.9,TRUE,43.6,25,21.2,5.3,11,10.1,11.6,FALSE,TRUE,No
6.9,0.6,TRUE,42.9,24.5,20.4,5,10,12.3,9.7,TRUE,TRUE,No
8.6,0.3,TRUE,44,23.9,20.6,5.3,10.3,11.6,11.3,FALSE,TRUE,No
7,1.6,TRUE,38.3,24.7,21.9,4.8,9.5,10,9.2,TRUE,TRUE,No
